Track_uri,Album_name,Track_name,Track_genres,Artist_name,Track_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
spotify:track:4BOYIpYF7zTYtAkpjoD687,Rustom,Tere Sang Yaara,"classic pakistani pop,desi pop,filmi,modern bollywood,sufi",Atif Aslam,66,0.539,0.551,8,-7.351,0.0361,0.651,0.0,0.124,0.556,75.899,286380
spotify:track:6v54G4hhoyTPreZ3nvSYmR,Hits Of Armaan Malik,"Pehla Pyaar (From ""Kabir Singh"")","desi pop,filmi,modern bollywood",Armaan Malik,47,0.607,0.713,4,-5.105,0.03,0.56,4.98e-05,0.101,0.611,124.868,272533
spotify:track:3oWxFNsXstcancCR1wODR4,Kabir Singh,Tera Ban Jaunga,"desi pop,filmi,modern bollywood",Tulsi Kumar,67,0.605,0.53,11,-6.346,0.0246,0.821,0.0,0.131,0.397,93.95,236437
spotify:track:3P167vmmGRGKHoy7uDugvy,Azhar,Itni Si Baat Hain,"desi pop,filmi,modern bollywood",Arijit Singh,58,0.56,0.768,2,-4.77,0.0655,0.494,0.0,0.0844,0.289,155.765,294847
spotify:track:7AV1hh76pC1mg4iSH796Vp,Rustom,Dekha Hazaro Dafaa,"desi pop,filmi,modern bollywood",Arijit Singh,63,0.411,0.277,7,-8.844,0.0305,0.903,0.0,0.209,0.345,143.768,207752
spotify:track:7eQl3Yqv35ioqUfveKHitE,Jab We Met,Tum Se Hi,"desi pop,filmi,modern bollywood",Mohit Chauhan,73,0.609,0.538,6,-7.842,0.0273,0.328,0.0,0.125,0.608,130.015,321225
spotify:track:6mTvwBzWTGDOVeCNQEqtOE,Airlift,Soch Na Sake,"desi pop,filmi,modern bollywood",Arijit Singh,68,0.505,0.667,9,-5.797,0.0323,0.597,0.0,0.213,0.516,151.728,281323
spotify:track:6m0uNvHh5zG9FJmbxVxD1N,Chalo Chalein,Chalo Chalein,"desi hip hop,desi pop,hindi indie,indian edm",Ritviz,60,0.461,0.5,1,-9.828,0.0614,0.00245,0.03,0.116,0.572,76.176,184371
spotify:track:4r8JqkhpTb5tzSKKHnVJIJ,Anjaana Anjaani,Tujhe Bhula Diya,"desi pop,filmi,modern bollywood",Mohit Chauhan,65,0.644,0.423,11,-8.702,0.0324,0.464,0.0,0.11,0.509,131.903,279429
spotify:track:1EjxJHY9A6LMOlvyZdwDly,Tum Mile (Original Motion Picture Soundtrack),Tum Mile,"desi pop,filmi,indian instrumental,modern bollywood",Pritam,64,0.738,0.798,0,-6.663,0.0334,0.32,5.15e-06,0.31,0.793,123.01,343787
